week,date,type,total,training_fall23,ex_phys,fmp_fall23,cogs153,cogs107a,cogs14b,dsc40b,math180a,kdd/ds3/tnt,pp_fall23
1,8/10/23,I,378,60,60,0,0,0,0,0,100,158,0
2,9/10/23,I,540,120,100,100,0,0,0,60,100,60,0
2,10/10/23,I,494,90,122,45,37,30,0,0,20,0,150
2,10/11/23,I,370,60,45,0,45,0,0,10,60,0,150
2,10/12/23,I,390,90,0,60,0,0,0,90,0,0,150
2,10/13/23,I,330,60,0,0,0,90,0,0,120,60,0
2,10/14/23,G,230,0,0,0,60,50,30,0,60,30,0
2,10/15/23,G,415,60,225,0,0,0,0,130,0,0,0
3,10/16/23,I,545,60,105,0,0,0,0,90,260,0,30
3,10/17/23,I,460,0,140,120,60,0,0,40,100,0,0
3,10/18/23,I,540,120,130,20,40,0,10,60,160,0,0
3,10/19/23,I,520,190,0,0,0,15,15,130,0,80,90
3,10/20/23,I,365,160,0,0,0,0,0,100,45,0,60
3,10/21/23,I,275,0,10,45,0,10,80,30,10,0,90
3,10/22/23,G,720,720,0,0,0,0,0,0,0,0,0
4,10/23/23,I,491,60,65,60,60,0,60,110,46,0,30
4,10/24/23,I,350,0,50,70,90,60,0,20,60,0,0
4,10/25/23,I,540,90,90,150,0,0,0,60,130,0,20
4,10/26/23,I,355,0,0,45,0,30,0,220,0,60,0
4,10/27/23,I,420,60,0,165,0,10,0,20,165,0,0
4,10/28/23,I,360,60,100,0,0,0,0,200,0,0,0
4,10/29/23,I,505,0,90,120,0,5,0,210,0,60,20
5,10/30/23,I,500,60,90,120,60,0,0,20,70,0,80
5,10/31/23,I,505,80,120,10,65,110,0,120,0,0,0
5,11/1/23,I,495,120,20,130,60,0,0,10,60,0,95
5,11/2/23,I,410,0,10,90,30,60,0,15,45,20,140
5,11/3/23,I,260,80,0,0,60,0,60,0,60,0,0
5,11/4/23,I,442,20,150,60,0,10,37,15,90,0,60
5,11/5/23,I,460,60,0,160,0,30,40,60,80,30,0
6,11/6/23,I,430,60,100,250,0,0,0,0,20,0,0
6,11/7/23,I,470,105,70,110,60,25,0,50,0,0,50
6,11/8/23,I,330,0,80,60,0,0,30,75,75,0,10
6,11/9/23,I,265,90,135,0,0,20,0,20,0,0,0
6,11/10/23,G,175,0,0,0,0,135,40,0,0,0,0
6,11/11/23,G,120,0,120,0,0,0,0,0,0,0,0
6,11/12/23,G,580,60,0,10,0,120,0,250,20,120,0
7,11/13/23,G,505,60,95,0,45,0,140,45,120,0,0
7,11/14/23,I,450,120,0,90,90,150,0,0,0,0,0
7,11/15/23,I,530,135,160,50,0,0,15,65,105,0,0
7,11/16/23,I,435,0,135,0,0,60,0,110,40,90,0
7,11/17/23,I,370,90,30,60,60,10,0,0,120,0,0
7,11/18/23,I,335,60,80,35,0,5,20,135,0,0,0
7,11/19/23,I,325,0,15,130,0,0,0,30,150,0,0
8,11/20/23,I,475,60,120,130,0,0,0,30,135,0,0
8,11/21/23,I,435,60,80,100,0,30,0,45,120,0,0
8,11/22/23,I,425,90,0,120,0,45,10,40,120,0,0
8,11/23/23,I,255,0,165,60,0,0,30,0,0,0,0
8,11/24/23,G,0,0,0,0,0,0,0,0,0,0,0
8,11/25/23,G,380,60,0,0,0,0,0,200,0,0,120
8,11/26/23,I,280,60,50,0,0,0,0,70,80,0,20
9,11/27/23,I,305,60,0,0,0,20,10,110,105,0,0
9,11/28/23,I,435,60,0,0,60,15,0,210,60,0,30
9,11/29/23,I,480,120,190,0,0,15,0,135,20,0,0
9,11/30/23,I,535,0,200,60,0,0,0,45,110,120,0
9,12/1/23,I,420,60,170,15,75,0,10,0,90,0,0
9,12/2/23,I,445,60,45,0,0,0,40,0,300,0,0
9,12/3/23,I,445,60,65,0,60,20,120,20,20,0,80
10,12/4/23,I,405,80,25,60,50,20,0,0,90,0,80
10,12/5/23,I,430,70,0,0,20,0,0,100,180,0,60
10,12/6/23,I,590,120,60,0,0,60,0,210,80,0,60
10,12/7/23,I,465,0,90,0,0,0,15,180,180,0,0
10,12/8/23,I,375,60,0,0,135,0,0,0,90,0,90
10,12/9/23,I,465,0,0,180,0,0,0,0,265,0,20
10,12/10/23,I,515,60,0,0,0,0,120,335,0,0,0
11,12/11/23,I,598,180,0,0,0,0,153,265,0,0,0
11,12/12/23,I,380,80,0,90,0,0,0,120,0,0,90
11,12/13/23,I,675,80,45,0,0,0,0,200,0,0,350
11,12/14/23,I,470,0,0,170,0,0,0,135,0,0,165
11,12/15/23,I,530,50,0,0,0,0,0,180,0,0,300
11,12/16/23,I,250,70,0,0,0,0,0,0,0,0,180
11,12/17/23,I,270,120,0,30,0,0,0,0,0,0,120
12,12/18/23,I,300,120,0,0,0,0,0,0,0,0,180
12,12/18/23,I,480,70,0,0,0,0,0,0,0,0,410
12,12/19/23,I,250,0,0,0,0,0,0,0,0,0,250