week,date,day,type,total,training,salk,cse257,dsc80,cogs107b,math180b,fmp,pp
n/a,12/19/23,tue,G,480,70,230,0,0,0,0,0,180
n/a,12/20/23,wed,G,250,0,250,0,0,0,0,0,0
n/a,12/26/23,tue,G,420,120,300,0,0,0,0,0,0
n/a,12/27/23,wed,G,462,60,372,0,0,0,0,0,30
n/a,12/28/23,thur,G,430,0,430,0,0,0,0,0,0
n/a,12/29/23,fri,G,595,60,535,0,0,0,0,0,0
n/a,12/30/23,sat,G,390,0,390,0,0,0,0,0,0
n/a,12/31/23,sun,G,0,0,0,0,0,0,0,0,0
n/a,1/1/24,mon,G,390,0,390,0,0,0,0,0,0
n/a,1/2/24,tue,G,450,70,380,0,0,0,0,0,0
n/a,1/3/24,wed,G,495,0,495,0,0,0,0,0,0
n/a,1/4/24,thur,G,200,0,80,0,0,0,0,0,120
n/a,1/5/24,fri,G,330,120,210,0,0,0,0,0,0
n/a,1/6/24,sat,G,165,0,105,0,0,0,0,0,60
n/a,1/7/24,sun,I,370,90,250,0,0,0,0,0,30
1,1/8/24,mon,I,430,80,185,0,0,0,0,0,165
1,1/9/24,tue,I,650,60,230,0,150,90,90,0,30
1,1/10/24,wed,I,485,60,335,0,30,0,0,0,60
1,1/11/24,thur,I,550,70,50,0,230,100,90,0,10
1,1/12/24,fri,I,405,0,120,0,0,0,60,0,225
1,1/13/24,sat,I,510,70,150,0,280,0,10,0,0
1,1/14/24,sun,G,600,60,480,0,0,0,0,0,60
2,1/15/24,mon,I,585,70,390,0,70,0,10,0,45
2,1/16/24,tue,I,675,0,255,0,150,0,150,60,60
2,1/17/24,wed,I,755,80,330,0,105,100,120,0,20
2,1/18/24,thur,I,630,0,55,0,250,180,145,0,0
2,1/19/24,fri,I,620,60,20,0,430,0,100,0,10
2,1/20/24,sat,I,675,0,65,0,550,0,40,0,20
2,1/21/24,sun,I,380,0,200,0,60,0,0,0,120
3,1/22/24,mon,I,530,80,75,0,165,30,60,120,0
3,1/23/24,tue,I,625,100,110,0,110,130,115,0,60
3,1/24/24,wed,I,680,120,180,0,260,20,100,0,0
3,1/25/24,thur,I,650,0,0,0,410,90,150,0,0
3,1/26/24,fri,G,405,0,360,0,45,0,0,0,0
3,1/27/24,sat,G,380,0,350,0,30,0,0,0,0
3,1/28/24,sun,I,350,90,260,0,0,0,0,0,0
4,1/29/24,mon,I,720,90,375,0,20,0,190,0,45
4,1/30/24,tue,I,570,60,20,0,210,100,160,0,20
4,1/31/24,wed,I,600,60,100,0,310,0,50,0,80
4,2/1/24,thur,I,550,0,40,0,330,90,90,0,0
4,2/2/24,fri,I,600,90,210,0,180,0,60,60,0
4,2/3/24,sat,G,515,0,60,0,455,0,0,0,0
4,2/4/24,sun,G,680,60,0,0,320,0,0,0,300
5,2/5/24,mon,G,585,90,150,0,300,0,45,0,0
5,2/6/24,tue,I,710,0,0,0,240,100,370,0,0
5,2/7/24,wed,G,665,60,220,0,360,25,0,0,0
5,2/8/24,thur,I,620,60,60,0,205,165,130,0,0
5,2/9/24,fri,I,245,0,135,0,0,20,90,0,0
5,2/10/24,sat,I,0,0,0,0,0,0,0,0,0
5,2/11/24,sun,G,210,90,0,0,0,0,0,0,120
6,2/12/24,mon,I,435,90,45,45,0,0,0,80,175
6,2/13/24,tue,I,655,20,75,90,180,150,90,0,50
6,2/14/24,wed,I,645,80,135,0,280,60,60,0,30
6,2/15/24,thur,I,670,0,70,120,250,120,110,0,0
6,2/16/24,fri,G,500,60,0,0,90,0,320,30,0
6,2/17/24,sat,G,285,30,0,0,180,0,75,0,0
6,2/18/24,sun,G,500,60,180,0,260,0,0,0,0
7,2/19/24,mon,G,550,90,20,0,20,165,130,45,80
7,2/20/24,tue,G,645,0,0,110,225,90,200,0,20
7,2/21/24,wed,G,370,80,0,0,290,0,0,0,0
7,2/22/24,thur,G,610,0,60,110,210,90,120,0,20
7,2/23/24,fri,G,630,100,120,0,350,0,60,0,0
7,2/24/24,sat,G,355,105,0,0,220,0,0,0,30
7,2/25/24,sun,I,660,90,100,0,300,0,90,0,80
8,2/26/24,mon,I,535,120,0,0,175,0,180,0,60
8,2/27/24,tue,I,710,0,20,135,330,90,90,0,45
8,2/28/24,wed,I,720,0,30,0,420,60,210,0,0
8,2/29/24,thur,G,690,120,90,155,165,70,90,0,0
8,3/1/24,fri,G,660,110,330,0,160,0,0,0,60
8,3/2/24,sat,I,670,0,380,180,0,0,0,0,110
8,3/3/24,sun,I,735,90,270,0,330,0,0,0,45
9,3/4/24,mon,I,655,60,225,0,270,0,20,0,80
9,3/5/24,tue,G,725,0,0,160,275,70,140,0,80
9,3/6/24,wed,G,680,0,0,0,560,30,0,60,30
9,3/7/24,thur,G,765,60,30,150,150,120,165,0,90
9,3/8/24,fri,G,695,70,0,0,570,0,55,0,0
9,3/9/24,sat,G,570,0,180,0,330,0,0,0,60
9,3/10/24,sun,G,635,90,0,0,465,0,0,0,80
10,3/11/24,mon,G,735,90,195,0,135,0,120,45,150
10,3/12/24,tue,G,780,0,185,90,280,100,105,0,20
10,3/13/24,wed,G,745,100,160,20,325,60,20,0,60
10,3/14/24,thur,G,685,0,120,120,300,0,125,0,20
10,3/15/24,fri,G,930,0,480,0,330,0,120,0,0
10,3/16/24,sat,G,730,30,0,0,320,200,0,0,180
10,3/17/24,sun,G,690,90,0,0,480,90,0,0,30
11,3/18/24,mon,G,670,0,45,0,420,0,205,0,0
11,3/19/24,tue,G,758,90,0,0,578,90,0,0,0
11,3/20/24,wed,G,630,90,55,0,145,0,270,70,0
11,3/21/24,thur,G,810,0,150,0,460,0,200,0,0
11,3/24/24,fri,I,470,120,230,0,60,0,0,0,60